AreaOfInterestID,longitude,latitude,AreaOfInterest
233,-81.26561,27.91445,"Kissimmee, Lake"
429,-82.9304,30.302829,Suwannee Lake FMA
483,-81.76756,28.54589,"Winona, Lake"
486,-83.181024,30.410717000000002,Withlacoochee River
313,-83.44741,30.48141,Mystic Lake
298,-81.358417,28.630883,"Minnehaha, Lake"
613,-84.632421,30.630278,Laurie Lake
633,-81.416811,28.134166,"Russell, Lake"
636,-80.82139,27.27669,Upper Taylor Creek
232,-81.197583,27.801624,Kissimmee River
96,-81.32366,28.0794,Cypress Lake
211,-81.16442,27.90953,"Jackson, Lake"
476,-81.39925,28.26933,"Tohopekaliga, Lake"
637,-80.291607,26.854169,C-XVIII watershed
240,-82.36494,28.62928,"Lindsey, Lake"
229,-86.64401,30.89566,Karick Lake FMA
322,-82.449017,30.237633,Ocean Pond
123,-81.28408,28.30613,East Lake Tohopekaliga
64,-81.19094,28.27929,"Center, Lake"
157,-81.24677,28.14056,"Gentry, Lake"
378,-81.2552,28.25871,"Runnymede, Lake"
153,-81.368438,28.491032,"Gatlin, Lake"
91,-84.669309,29.874202,Crooked River
620,-85.077088,29.743472,Huckleberry Creek
283,-81.17855,28.38093,"Mary Jane, Lake"
178,-81.21075,28.38175,"Hart, Lake"
642,-80.162559,26.658594,"Okeeheelee Park, Lake"
632,-80.387967,26.868159,Corbett WMA ponds
314,-81.664538,30.589138,Nassau River
149,-81.803889,27.76,Ft. Meade Pits
20,-81.80836,28.07366,"Ariana, Lake"
40,-81.77347,28.04577,"Blue, Lake"
308,-82.05813,29.56222,Moss Lee Lake
171,-82.593129,28.821783,Halls River
626,-80.727603,27.845052,TM Goodwin WMA
59,-81.754,28.0391,Cannon Lake
285,-81.72131,28.03768,"Maude, Lake"
349,-81.522222,27.975,"Pierce, Lake"
143,-81.34627,28.27087,Fish Lake
448,-81.49242,26.42042,"Trafford, Lake"
265,-80.175367,26.932825,Loxahatchee River
453,-81.33705,28.53982,"Underhill, Lake"
288,-82.33742,28.64647,McKethan Lake
635,-80.611912,26.086359,Water Conservation Areas
278,-81.06644,27.87248,"Marian, Lake"
9,-81.20444,28.21487,Alligator Lake
254,-81.18631,28.24416,"Lizzie, Lake"
311,-84.3085,30.36754,"Munson, Lake"
105,-81.97926,28.83503,"Deaton, Lake"
338,-82.3978,30.11705,Palestine Lake
383,-82.1885,29.927167,Sampson Lake
97,-81.659341,27.996184,"Daisy, Lake"
90,-81.56543,27.8229,Crooked Lake
222,-81.8033,28.1296,"Juliana, Lake"
619,-86.541802,30.463568,Eglin Lakes FMA
128,-81.158137,28.617513,Econlockhatchee River
371,-81.806733,29.5214,Rodman Reservoir
460,-84.21248,30.15022,Wakulla River
415,-84.1493,30.27556,St. Marks River
289,-81.753404,27.96777,"McLeod, Lake"
295,-81.268633,29.058983,Miller Lake
181,-81.230083,28.9846,"Helen, Lake"
176,-81.04781,28.78143,"Harney, Lake"
648,-85.577327,30.289655,Panama City Crayfish Wetlands
643,-84.647644,30.18825,Apalachicola NF Ephemeral Ponds
644,-86.787323,30.417584,Eglin Ephemeral Ponds
303,-81.339767,28.594067,"Mizell, Lake"
