PERIMETER,NAME,COUNTY,OBJECTID,SHAPEAREA,SHAPELEN
8174.280555,Levy Lake,ALACHUA,216,1084338.167,8174.280685
890.7398421,Clear Lake,ALACHUA,217,29803.31229,890.7404044
7544.771802,Connell Lake,CITRUS,218,683315.9706,7544.772483
1670.693421,Lake Alice,ALACHUA,219,93333.00254,1670.693445
335.8610164,Mud Pond,ALACHUA,220,7720.100079,335.8613717
5234.275035,Middle Lake,PASCO,221,867087.8,5234.27527
1397.543569,Grassy Pond,HERNANDO,222,106097.8034,1397.543307
1655.710328,Holden Lake,CITRUS,223,111389.7298,1655.710781
3065.100316,Georges Pond,ALACHUA,224,268758.7704,3065.099741
10837.40647,Lake Thonotosassa,HILLSBOROUGH,225,3528884.138,10837.40592
903.3328136,Smith Prairie,HERNANDO,226,47275.36574,903.3329219
5297.207321,Moon Lake,CITRUS,227,542369.2643,5297.20732
1232.847681,Hopkins Pond,MARION,228,80916.18505,1232.848107
2965.984289,Valrico Lake,HILLSBOROUGH,229,472079.7866,2965.985378
2588.13281,Long Pond,HILLSBOROUGH,230,227027.635,2588.13285
2466.724831,Karney Lake,PASCO,231,286940.1539,2466.72516
5332.140701,Lowman Pond,ALACHUA,232,1000213.193,5332.140469
8344.846252,Governor Hill Lake,DIXIE,233,624928.3355,8344.84487
1086.151053,Union Lake,DIXIE,234,33203.76304,1086.151087
2270.280062,Clardy Lakes,HAMILTON,235,44433.19927,2270.28008
530.9169245,Alligator Lake,DIXIE,236,15242.09408,530.9167148
943.5918162,Bachelor Lake,SUWANNEE,237,40017.59959,943.5908302
2839.171489,White Lake,SUWANNEE,238,190276.7893,2839.171581
1236.297578,Crab Lake,SUWANNEE,239,15890.21027,1236.297193
5083.249712,Lake Winnott,PUTNAM,240,645722.2153,5083.251322
683.2626724,Jergans Lake,PUTNAM,241,29702.45343,683.2627099
374.9627428,Mosquito Lake,CLAY,242,10598.9139,374.9627776
745.8703157,Indian Lake,MARION,243,21400.98219,745.8704674
1812.382196,Lester Lake,POLK,244,170742.7259,1812.382736
501.0451652,Indian Lake,POLK,245,10856.27565,501.0451186
403.1038313,Duff Lake,POLK,246,10221.11252,403.1034826
2382.015702,Lake Bonnet,POLK,247,319649.0301,2382.015402
1754.767325,Horseshoe Lake,MARION,248,110347.2219,1754.767048
631.8263147,Brim Pond,PUTNAM,249,31068.9994,631.8263281
2865.856245,McCarthy Lake,PUTNAM,250,454835.9323,2865.856128
3937.621907,White Sands Lake,CLAY,251,945698.4579,3937.621872
1077.410868,Lake Wire,POLK,252,89784.8481,1077.410907
1365.827193,Smith Lake,PUTNAM,253,90223.74918,1365.828149
2430.942074,Wall Lake,PUTNAM,254,281724.5026,2430.942536
2621.238584,O'Berry Lake,PASCO,255,259195.1287,2621.239858
256.496959,Little Salt Spring,SARASOTA,256,4994.929616,256.497335
805.1971112,Suwannee Lake,PASCO,257,42452.62987,805.1970018
1643.935738,Perry Pond,ALACHUA,258,76620.11255,1643.936077
978.8175002,Bonnet Lake,PASCO,259,34561.3907,978.81737
892.481231,Croft Pond,PASCO,260,29885.91333,892.4821931
1108.63553,Seaboard Pond,PASCO,261,29011.52932,1108.636363
167.8865288,Gamble Pond,ALACHUA,262,1918.176993,167.8863241
791.7543341,Ivy Stag Lake,PASCO,263,30753.24512,791.7540545
917.704538,Fish Pond,SUMTER,264,57790.32551,917.7043119
278.0340939,Caldwells Pond,MARION,265,5775.639875,278.0337067
419.355206,Boiler Lake,PASCO,266,11470.4047,419.354945
4210.783089,Dobes Hole,PASCO,267,239867.9609,4210.783029
2356.399919,Island Prairie Pond,HERNANDO,268,212280.0759,2356.400354
17395.78716,Ladyfinger Lake,LEE,269,577581.4227,17395.78572
726.0733957,Berchfield Lake,LAKE,270,37427.74832,726.0735619
2703.699838,Tomahawk Lake,MARION,271,213530.8471,2703.699264
3406.077291,Howard Lake,LAKE,272,134318.8942,3406.076701
3308.786176,Redwater Lake,MARION,273,756145.2536,3308.786563
432.9560301,Lake Juno,PUTNAM,274,14552.97921,432.9556483
539.8109872,Lake Katherine,DESOTO,275,16164.62774,539.8110801
4000.072658,Anglers Lake,POLK,276,97859.3292,4000.069036
5147.597621,Lake Leonore,POLK,277,1592490.913,5147.597248
7208.435606,Lake Eaton,MARION,278,1266436.227,7208.436127
3390.780555,Junior Lake,PUTNAM,279,310473.2059,3390.780838
1734.578152,Pillans Prairie,MARION,280,78184.36272,1734.577732
878.2086626,Floral Lake,PUTNAM,281,28336.59104,878.2092456
1920.359885,Lake David,LAKE,282,178081.955,1920.359981
6235.945309,Long Lake,MARION,283,576734.3343,6235.946753
2350.052265,Stewart Lake,LAKE,284,228554.2624,2350.052895
2997.341391,Deer Lake,MARION,285,286969.6433,2997.341517
627.4941851,Hack Lake,POLK,286,20081.26611,627.4947152
2917.615566,Little Lake Nellie,LAKE,287,343054.6912,2917.615458
1668.424848,Florence Lake,LAKE,288,81939.697,1668.42485
2138.39423,Lake Winona,LAKE,289,273093.9405,2138.393758
216.3658174,Lake Dot,LAKE,290,3549.113236,216.3651878
500.8913126,Lake Bertha,LAKE,291,17429.40432,500.8917221
1699.372527,Pine Island Lake,DESOTO,292,43329.32425,1699.374055
1620.567052,Lake Pansy,POLK,293,201584.3424,1620.566803
1352.262719,Bay Lake,POLK,294,99603.11243,1352.263238
1045.290946,Flora Lake,POLK,295,85736.11128,1045.290922
3850.635141,Lake May,POLK,296,182616.5188,3850.635355
1390.979102,Lake Walker,POLK,297,152630.9403,1390.978806
4583.60886,Lake Otis,POLK,298,563564.8771,4583.608893
2122.295637,Lake Martha,POLK,299,348551.2529,2122.295473
9109.951452,Lake Haines,POLK,300,2718096.036,9109.954113
1125.439912,Dead Lake,CLAY,301,21420.9257,1125.439496
225.2664807,Lake Rey,POLK,302,3785.430979,225.2662503
480.5744164,Lake Gem,POLK,303,17866.12156,480.5744841
1129.990496,Square Lake,LAKE,304,74817.85816,1129.989912
1976.856736,Lake Merritt,LAKE,305,83431.75999,1976.857181
1215.458284,Lake Hermosa,LAKE,306,111183.8533,1215.458315
464.1762883,Sparkling Water Lake,LAKE,307,16743.52855,464.1760018
536.1593564,Wolfs Head Lake,LAKE,308,22114.13963,536.159243
862.5668468,Pretty Lake,LAKE,309,46075.682,862.5667533
6954.982942,Lake Winterset,POLK,310,2201680.79,6954.983063
9820.762203,Pretty Lake,LAKE,311,1009600.25,9820.764632
2343.459958,Lake Spencer,LAKE,312,229206.1668,2343.459633
3208.897087,Zay Prairie,MARION,313,375896.6391,3208.896823
1245.016289,Cook Lake,LAKE,314,94793.6745,1245.016189
1001.17599,Thompson Pond,MARION,315,49976.84153,1001.17657
3742.711513,Swim Pond,MARION,316,232763.1589,3742.711165
4967.275056,Grassy Prairie,MARION,317,448661.9933,4967.276006
343.6263816,Rose Apple Lake,LEE,318,8284.905087,343.626293
996.4934081,Hog Bay Lake,DESOTO,319,15600.0334,996.4939398
2743.107194,Lake Helene,POLK,320,209367.8664,2743.106433
3676.520733,Lake Glona,LAKE,321,569533.6715,3676.519026
1436.598348,Deacon Lake,LAKE,322,112229.8725,1436.598321
928.6164653,Dinners Pond,MARION,323,36574.20168,928.6167303
5494.512792,Crystal Lake,SEMINOLE,324,361169.1669,5494.514936
5082.954651,Lake Bracy,LAKE,325,274746.2784,5082.954189
889.8528624,Lake Oleo,LAKE,326,51536.75694,889.8526159
2962.011158,Lake Daisy,POLK,327,544406.2244,2962.010353
6181.846636,Bonnet Lake,POLK,328,929337.2694,6181.847512
2323.054497,Horseshoe Lake,LAKE,329,132148.3745,2323.05431
4026.210496,West Crooked Lake,LAKE,330,445296.629,4026.210091
1167.293341,Castle Lake,PUTNAM,331,85314.7148,1167.293372
4708.71954,Sour Orange Lake,DESOTO,332,612719.4779,4708.718918
1730.016257,Lake Fox,POLK,333,224822.6697,1730.01657
782.527129,Yearling Pond,MARION,334,40503.97337,782.5267481
4218.315295,Lake Gordon,POLK,335,712334.6703,4218.31539
6123.782071,Little Lake Hamilton,POLK,336,1398042.279,6123.78177
1030.83929,Lake Butler,POLK,337,51341.09635,1030.839496
1470.636027,Osage Lake,ORANGE,338,91402.00497,1470.635141
767.0783512,Doe Lake,ORANGE,339,40828.84763,767.0781582
7121.645613,Beakman Lake,LAKE,340,806061.0818,7121.646702
1007.271736,Tater Patch Pond,POLK,341,73632.59647,1007.271946
684.0444725,Lake Lee,POLK,342,28075.38069,684.0445281
