AOI,Lake,longitude,latitude,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA,ShapeSource
Rodman,Rodman Reservoir,-81.86180325,29.51362819,32560,120053782,12/11/08,3,,,34.295,NULL,,390,39004,0,0,0,Rodman-out 1,0,10,82167.4506,34294549.85,Lakewatch_FWC_control_plants_quality
Sampson,Sampson,-82.18731519,29.92793768,51440,113641339,4/16/19,2,290460,Lake Sampson,8.02296856,132,3.11021E+12,390,39009,5000000,0.176684226,0.000749573,Sampson,0,0,0,0,Lakewatch_FWC_control_plants_quality
Sarah,Sarah,-81.40270674,28.58541535,129986,107809233,9/10/09,2,290674,Lake Sarah,0.05,0,3.0801E+12,390,39004,250000,0.007894702,4.65448E-06,Sarah,0,0,0,0,Lakewatch_FWC_control_plants_quality
Seminole,Seminole,-82.77887635,27.86349519,138819,120024097,2/1/19,2,290850,Lake Seminole,2.74431178,0,3.10021E+12,436,43600,2000000,0.182386603,0.000251448,Seminole,0,0,0,0,Lakewatch_FWC_control_plants_quality
Sheen,Sheen,-81.52074724,28.4318154,430698,112030525,4/15/11,2,290953,Lake Sheen,2.306,29.9,3.0901E+12,390,39009,2000000,0.0633497,0.000212383,Sheen,0,0,0,0,Lakewatch_FWC_control_plants_quality
Shipp,Shipp,-81.74231977,28.00251223,111054,78690635,11/2/12,2,291058,Lake Shipp,1.08997877,131,3.1001E+12,390,39009,5000000,0.040979185,9.9997E-05,Shipp,0,0,0,0,Lakewatch_FWC_control_plants_quality
SouthConway,South Conway,-81.34801285,28.45904452,239823,112028653,9/10/09,2,280728,Lake Conway,4.369,26.2,3.0901E+12,390,39009,2000000,0.161460543,0.000402532,"Conway, Lake",81,0,0,0,Lakewatch_FWC_control_plants_quality
Starke,Starke/Prima Vista,-81.53644303,28.57067711,4157,10995273,10/17/99,3,291635,Starke Lake,0.812,NULL,3.0801E+12,390,39004,0,0,0,Starke,0,,3378.20759,811908.3323,Lakewatch_FWC_control_plants_quality
Swoope,Swoope,-81.72554335,28.10163499,89821,78686067,8/24/12,2,291973,Lake Swoope,0.33658792,131,3.1001E+12,390,39009,1000000,0.027697911,3.09071E-05,Swoope Lake,432,0,0,0,Lakewatch_FWC_control_plants_quality
Tarpon,Tarpon,-82.72244688,28.11725543,180864,68792760,4/22/19,2,292049,Lake Tarpon,10.29406153,2,3.10021E+12,390,39009,5000000,0.267252467,0.000945393,"Tarpon, Lake",435,0,0,0,Lakewatch_FWC_control_plants_quality
Tibet,Tibet,-81.52437537,28.45535678,427483,112029645,7/10/13,2,292259,Lake Tibet,4.36359805,29.9,3.0901E+12,390,39009,2000000,0.139114829,0.000401983,"Tibet, Lake",443,0,0,0,Lakewatch_FWC_control_plants_quality
Tohopekaliga,Tohopekaliga,-81.38078332,28.20928029,13616,112039563,11/3/14,2,292327,Lake Tohopekaliga,75.38271464,16.2,3.0901E+12,390,39009,5000000,0.786467046,0.006928552,Tohopekaliga-South,0,0,0,0,Lakewatch_FWC_control_plants_quality
Trafford,Trafford,-81.49373328,26.42266112,436934,117029829,5/4/16,2,292393,Lake Trafford,6.59818196,19,3.0902E+12,390,39009,2000000,0.112780916,0.000596986,Trafford,0,0,0,0,Lakewatch_FWC_control_plants_quality
Virginia,Virginia,-81.34422463,28.58858915,95000,107806875,6/26/13,2,292785,Lake Virginia,0.9040599,66,3.0801E+12,390,39009,1000000,0.045203071,8.33885E-05,Virginia,0,0,0,0,Lakewatch_FWC_control_plants_quality
Weir,Weir,-81.9423995,29.01372243,249902,112626502,5/28/20,2,306567,Lake Weir,22.75941448,0,3.0801E+12,390,39000,5000000,0.284826866,0.002107697,Sunset Harbor,0,0,0,0,Lakewatch_FWC_control_plants_quality
Weohyakapka,Weohyakapka,-81.41361537,27.82108907,430377,120024290,10/19/13,2,294192,Lake Weohyakapka,30.54971344,18.9,3.0901E+12,390,39009,5000000,0.205983117,0.002798081,"Weohyakapka, Lake",475,0,0,0,Lakewatch_FWC_control_plants_quality
Yale,Yale,-81.73516178,28.91149154,139649,112613946,5/28/20,2,306620,Lake Yale,16.35502083,0,3.0801E+12,390,39000,5000000,0.232741518,0.001513141,Yale,0,0,0,0,Lakewatch_FWC_control_plants_quality
